productID,three_day_conversion,seven_days_conversion,fourteen_days_conversion
a3a0e5db-531c-40f0-8820-4d647259a326,0.0,0.26,89.01
3a704929-67e0-4499-a54e-ede18ff2a3cf,0.27,60.73,62.57
f0a22247-8ad7-4117-b8b8-367558948847,0.0,60.0,60.0
978f0b80-ee4c-41ab-8fb4-7a03fd505c6c,0.0,74.3,75.28
e7636b86-7c16-4353-a779-98e912d6ce52,0.0,75.0,78.57
dca9ad00-3de5-4b6b-890a-3ccacb44fa51,0.0,0.0,12.72
150a73d3-8421-4b55-8d71-8fa1724632d2,0.0,81.25,81.25
db8f09d8-dd49-4154-94e2-6bec14c355dd,0.0,57.14,57.14
50bd48bd-5699-4b73-8b8b-51049b67c2bb,0.0,33.33,33.33
18bb9606-2edb-4bd6-b28c-7ef0fdc9a292,0.16,61.13,61.13
90b6b3ed-ba5e-4380-8200-a96bbf03c8b7,0.0,52.94,55.88
066225be-b530-4ae3-bd85-0b6b2214ef1e,0.0,58.33,58.33
e4688fb2-75c0-4aab-b2e4-16ade622c635,0.0,100.0,100.0
4ce0b648-eba8-4afc-8538-7db7c23babec,0.0,40.0,46.67
11a8ebc5-bd3a-477e-9ab1-ed4fdb5f1ed7,0.0,46.3,46.3
ef86ed0c-795d-4f88-8487-ad851a9cb1b5,0.0,0.0,0.0
7d0822c0-e2bd-4326-bb30-edde8201fa27,0.0,33.33,33.33
81cbe238-c470-46ae-8823-f463dfef972a,0.0,50.0,50.0
151354df-0504-4043-8f2c-ff84b22ea817,0.0,80.85,80.85
92624d60-d96c-413c-bc7f-9d4be9e8ff2c,0.0,76.03,77.39
926b51f3-e44f-491f-a559-c51e95220403,0.07,54.87,54.87
ca047150-2175-46ea-8401-273500804ba0,0.0,0.0,0.0
4f6595d3-b9c7-495e-88b3-8b8cc1c941a3,0.0,50.0,50.0
0bcc1526-0687-4009-a638-29da81ed6a88,0.0,0.0,77.19
874e70d4-a638-46e4-837e-cc4184d6fa47,0.0,20.04,20.04
2e9d478c-ef61-46f4-b392-887a7dbe60f1,0.0,100.0,100.0
2019bcc0-13b7-457f-aadf-47453037ef9d,0.0,0.0,0.0
ff0fd583-8cc5-4984-88a0-50d90d22660f,0.0,75.0,75.0
587b9d06-4fe9-4f6b-b024-c9449f8269a5,2.13,51.06,53.19
97c2a8f4-288b-4e02-92ec-86fc4d1fc6bf,0.0,0.0,53.85
a4fa0883-1a96-49a0-8704-1832ea5e33f9,0.0,0.0,85.0
ffe29213-c0ea-47c8-b38a-6649cac4d6db,0.0,100.0,100.0
0a3b606b-d0fd-45cf-8e0c-9d1670e808d2,0.0,58.68,59.5
68cf13a2-09f4-4845-bef6-3a2855b20d9a,0.0,33.33,33.33
08892dd2-1cf1-4f30-8b28-219d0fadaa68,0.0,60.0,60.0
faa0f375-761f-4c5c-9545-0e5d91bf989b,0.06,36.0,36.0
4870985f-b160-4c50-812e-6c576edd8309,0.0,100.0,100.0
8890e56b-1f1a-49e0-b69c-6317d8cc60c2,0.0,65.12,65.12
416811b7-491b-471f-ae6d-3136d551dd53,0.0,57.49,57.49
1550044b-1c92-4b7e-84e8-195e24d47450,0.0,67.19,67.19
49fc21bb-926f-4287-8808-95f78b9d82df,0.0,60.0,60.0
77328b8f-fcaa-49fc-83c1-5c6d00cdf0d4,0.0,0.0,0.0
9fc7da3f-837e-444a-b60c-4a5f4b92f334,0.0,40.83,40.83
c9c66dbf-7289-4364-8242-975dbd5fa63d,0.0,37.29,37.29
66db1127-44c8-4285-a146-0fdcfe8bcb27,0.0,70.59,70.59
d40ecc46-2e54-4e00-8ea0-906919c148e6,0.0,0.0,87.5
c1133baa-aaa9-425d-ba7e-cac6bf832738,0.0,32.77,32.77
6c005de1-b327-4c87-bb52-aea042542315,0.0,100.0,100.0
75b998c4-be93-4ae2-b314-58de82ddb12b,0.0,40.0,40.0
